Cluster_HDBSCAN_PCA,Cluster_Size,tenure,MonthlyCharges,Churn,Contract_Month_to_month,Contract_One_year,Contract_Two_year
-1,5175,0.1952713031943398,0.011549033265802732,0.1932367149758454,0.45951690821256036,0.2697584541062802,0.2707246376811594
0,69,1.5440635169801489,0.7588840310554866,0.028985507246376812,0.0,0.0,1.0
1,61,1.5529544683364587,1.6104375347174722,0.08196721311475409,0.0,0.0,1.0
2,1029,-0.8107235246758132,0.6423586175651125,0.6676384839650146,0.9970845481049563,0.0029154518950437317,0.0
3,105,0.8605684181167327,-1.4439679240061314,0.009523809523809525,0.17142857142857143,0.0,0.8285714285714286
4,147,-1.1478042420394852,-0.7723781020573627,0.5782312925170068,1.0,0.0,0.0
5,77,1.2530351617802633,-1.4381451599717832,0.012987012987012988,0.0,0.0,1.0
6,74,-0.5769442726571623,-1.4913798265274734,0.0,0.0,1.0,0.0
7,88,-1.1774946000023274,-0.6939811328633012,0.42045454545454547,1.0,0.0,0.0
8,93,-1.1360179440919935,-1.4872502054439452,0.22580645161290322,1.0,0.0,0.0
9,125,-1.1497455230527502,-1.4857027686674464,0.24,1.0,0.0,0.0
